,structural,emotional,affect,wellbeing,register,moral,values,epistemic,political,outgroup,discourse,topical
structural,1.0,-0.001,0.01,-0.0,-0.001,-0.004,-0.004,-0.0,-0.009,0.001,-0.0,0.028
emotional,-0.001,1.0,0.039,0.061,0.034,0.053,0.028,0.115,0.143,0.002,0.045,0.004
affect,0.01,0.039,1.0,-0.002,0.002,0.021,0.022,-0.003,-0.025,0.008,0.019,0.012
wellbeing,-0.0,0.061,-0.002,1.0,0.016,0.188,0.061,0.029,0.155,0.044,0.003,0.007
register,-0.001,0.034,0.002,0.016,1.0,-0.02,-0.014,0.026,0.029,0.026,0.204,0.001
moral,-0.004,0.053,0.021,0.188,-0.02,1.0,0.209,0.067,0.125,-0.003,0.016,0.003
values,-0.004,0.028,0.022,0.061,-0.014,0.209,1.0,0.023,0.009,0.017,0.014,0.001
epistemic,-0.0,0.115,-0.003,0.029,0.026,0.067,0.023,1.0,0.155,-0.002,0.088,-0.001
political,-0.009,0.143,-0.025,0.155,0.029,0.125,0.009,0.155,1.0,0.021,0.015,0.01
outgroup,0.001,0.002,0.008,0.044,0.026,-0.003,0.017,-0.002,0.021,1.0,0.001,0.003
discourse,-0.0,0.045,0.019,0.003,0.204,0.016,0.014,0.088,0.015,0.001,1.0,0.0
topical,0.028,0.004,0.012,0.007,0.001,0.003,0.001,-0.001,0.01,0.003,0.0,1.0
