community,aff,dis,exh,rsl,care,fair,loya,auth,libe,trad,sexp,indv,scfr,cnsp,dogm,itru,wtru,hawk,ogh,lgbt,gtrd,sxm,av_age,av_gnd,av_uasym,av_unif,n_users
0,-0.055,0.101,0.089,0.13,0.468,0.535,0.315,0.166,0.299,0.035,0.007,0.247,0.179,0.344,1.18,-0.163,-0.146,0.188,0.328,-0.005,0.005,0.023,,,0.211,0.033,317
1,0.088,0.115,0.106,0.186,0.611,0.609,0.437,0.187,0.304,0.031,-0.012,0.247,0.175,0.175,0.91,-0.192,-0.057,0.21,0.24,-0.001,0.0,0.01,,,0.233,0.058,218
2,0.221,0.081,0.077,0.169,0.592,0.384,0.33,0.13,0.321,0.048,0.032,0.211,0.157,0.224,0.885,-0.173,-0.107,0.107,0.151,-0.008,0.006,0.025,,,0.218,0.046,154
3,0.036,0.124,0.101,0.159,0.531,0.592,0.375,0.212,0.361,0.015,0.006,0.251,0.1,0.24,1.041,-0.252,-0.086,0.14,0.236,0.006,-0.006,0.007,,,0.27,0.049,325
4,0.706,0.103,0.052,0.288,1.025,0.486,0.599,0.214,0.298,0.12,0.092,0.228,0.194,0.171,0.847,-0.097,-0.053,0.241,0.37,-0.001,-0.014,0.014,,,0.286,0.091,182
5,-0.026,0.135,0.122,0.21,0.508,0.433,0.329,0.189,0.392,0.046,-0.039,0.234,0.132,0.287,1.136,-0.33,-0.269,0.368,0.31,0.0,0.0,0.079,,,0.217,0.087,56
6,0.156,0.13,0.055,0.124,0.462,0.592,0.397,0.177,0.387,0.04,0.017,0.288,0.212,0.22,1.092,-0.121,-0.088,0.193,0.234,-0.002,0.005,0.006,,,0.247,0.021,185
7,0.082,0.077,0.052,0.182,0.424,0.494,0.238,0.183,0.329,-0.043,0.054,0.252,0.08,0.26,1.057,-0.182,-0.065,0.141,0.179,0.0,-0.011,0.003,,,0.279,0.047,162
8,0.222,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,-0.111,0.111,0.0,0.0,0.556,0.0,0.0,0.222,0.222,0.0,0.0,0.0,,,0.5,0.0,10
9,0.376,0.053,0.082,0.069,0.332,0.518,0.295,0.147,0.335,0.0,-0.007,0.313,0.215,0.074,0.715,-0.118,-0.027,0.067,0.195,-0.013,0.004,0.017,,,0.333,0.0,68
10,0.142,0.094,0.076,0.121,0.451,0.381,0.277,0.146,0.332,0.003,0.064,0.268,0.137,0.231,0.963,-0.151,-0.118,0.113,0.181,-0.004,0.006,0.011,,,0.178,0.031,247
11,0.613,0.083,0.043,0.073,0.541,0.4,0.301,0.156,0.268,0.0,0.168,0.207,0.066,0.123,0.623,-0.065,-0.023,0.009,0.13,0.025,0.024,0.031,,,0.171,0.049,72
13,-0.159,0.203,0.079,0.128,0.647,0.479,0.357,0.142,0.261,-0.002,-0.102,0.289,0.091,0.218,0.981,-0.069,-0.129,0.24,0.222,-0.0,0.016,0.008,,,0.327,0.0,113
14,0.122,0.228,0.22,0.172,0.686,0.372,0.479,0.05,0.343,0.056,-0.031,0.197,0.176,0.468,1.137,-0.205,-0.321,0.172,0.359,0.0,0.0,0.014,,,0.429,0.0,54
15,-0.223,0.083,0.125,0.161,0.305,0.543,0.251,0.08,0.261,-0.004,0.016,0.29,0.196,0.147,1.034,-0.266,-0.052,0.152,0.147,0.0,0.001,0.032,,,0.224,0.052,111
